"","neighborhood","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","room_type"
"129","Indre By",5,2,1,106,55.695232,12.581881,"E"
"130","Østerbro",5,4,1,122,55.698489,12.584357,"E"
"131","Østerbro",0,4,3,122,55.703831,12.588969,"E"
"132","Østerbro",5,4,2,111,55.706394,12.578808,"E"
"133","Amager Vest",4.5,2,1,98,55.618632,12.573975,"E"
"134","Vesterbro-Kongens Enghave",0,3,1,91,55.654298,12.535145,"E"
"135","Valby",0,3,1,91,55.676651,12.489575,"E"
"136","Valby",0,2,1,83,55.672514,12.483257,"E"
"137","Amager Vest",5,2,1,89,55.633212,12.577099,"E"
"138","Brønshøj-Husum",0,3,1,83,55.70177,12.478248,"E"
"139","Vesterbro-Kongens Enghave",4.5,4,1,102,55.66942,12.548613,"E"
"140","Vesterbro-Kongens Enghave",0,4,2,89,55.665541,12.556644,"E"
"141","Brønshøj-Husum",0,2,1,83,55.717306,12.476026,"E"
"142","Brønshøj-Husum",4.5,5,3,91,55.715103,12.463092,"E"
"143","Nørrebro",5,2,1,83,55.705045,12.546987,"E"
"144","Østerbro",0,2,1,91,55.707015,12.585091,"E"
"145","Østerbro",4.5,2,1,91,55.708769,12.58738,"E"
"146","Østerbro",5,4,3,98,55.709438,12.585025,"E"
"147","Amager Vest",4,4,1,100,55.659331,12.598108,"E"
"148","Amager Vest",5,5,2,89,55.663986,12.57438,"E"
"149","Østerbro",5,2,1,91,55.709391,12.579466,"E"
"150","Indre By",4.5,2,1,91,55.67448,12.594438,"E"
"151","Amager Vest",0,2,1,75,55.663389,12.579328,"E"
"152","Amager Øst",0,2,1,68,55.66015,12.621559,"E"
"153","Valby",4.5,3,0,67,55.667406,12.516754,"E"
"154","Vesterbro-Kongens Enghave",4.5,3,1,68,55.650704,12.526768,"E"
"155","Vesterbro-Kongens Enghave",5,2,1,68,55.665805,12.551649,"E"
"156","Amager Øst",0,3,1,78,55.652994,12.612985,"E"
"157","Bispebjerg",0,2,0,75,55.702885,12.527198,"E"
"158","Bispebjerg",5,4,1,73,55.711858,12.517498,"E"
"159","Østerbro",0,2,1,53,55.704377,12.583307,"E"
"160","Amager Øst",4.5,4,1,52,55.66013,12.623883,"E"
"161","Amager Øst",0,2,0,57,55.646381,12.633738,"E"
"162","Amager Øst",0,2,1,61,55.655042,12.617129,"E"
"163","Amager Øst",0,2,1,50,55.661647,12.619043,"E"
"164","Amager Øst",0,4,1,61,55.655886,12.615427,"E"
"165","Vanløse",0,3,1,33,55.698018,12.489257,"E"
"166","Vanløse",0,2,1,38,55.68008,12.489354,"E"
"167","Bispebjerg",4,4,2,38,55.719461,12.56101,"E"
"168","Vesterbro-Kongens Enghave",0,2,1,29,55.667266,12.549533,"E"
"169","Amager Vest",0,3,2,39,55.662521,12.600573,"E"
"170","Nørrebro",0,3,1,36,55.688449,12.554103,"E"
"171","Nørrebro",5,2,1,35,55.691164,12.565626,"E"
"172","Bispebjerg",4.5,2,1,33,55.706405,12.532533,"E"
"173","Nørrebro",5,6,3,34,55.684849,12.55855,"E"
"174","Vanløse",0,4,1,36,55.68478,12.484594,"E"
"175","Amager Øst",0,5,2,10,55.656811,12.633571,"E"
"176","Vanløse",0,2,1,30,55.690876,12.501763,"E"
"177","Valby",0,2,1,35,55.658759,12.509227,"E"
"178","Brønshøj-Husum",0,2,0,28,55.706095,12.488898,"E"
"179","Valby",4.5,2,1,38,55.658974,12.502773,"E"
"180","Bispebjerg",0,4,1,32,55.698663,12.533695,"E"
"181","Vesterbro-Kongens Enghave",0,3,1,40,55.654684,12.534716,"E"
"182","Amager Vest",0,3,1,5266,55.66508,12.595452,"E"
"183","Indre By",0,8,4,2270,55.685074,12.588997,"E"
"184","Østerbro",0,6,3,1513,55.698312,12.577913,"E"
"185","Indre By",5,10,6,1033,55.68252,12.57436,"E"
"186","Indre By",0,6,3,742,55.685463,12.59465,"E"
"187","Indre By",0,6,0,757,55.69425,12.612104,"E"
"188","Vesterbro-Kongens Enghave",0,3,2,757,55.667282,12.554795,"E"
"189","Vanløse",0,10,6,907,55.689503,12.484729,"E"
"190","Indre By",4.5,8,3,757,55.689269,12.569965,"E"
"191","Vanløse",5,10,6,907,55.689787,12.486882,"E"
"192","Indre By",5,6,3,788,55.683107,12.582258,"E"
"193","Amager Vest",0,3,2,756,55.63219,12.575795,"E"
"194","Indre By",5,2,1,848,55.678998,12.575435,"E"
"195","Indre By",4.5,16,5,757,55.681185,12.57592,"E"
"196","Valby",0,3,2,927,55.658856,12.513188,"E"
"197","Bispebjerg",5,4,1,907,55.710268,12.53038,"E"
"198","Indre By",0,4,1,754,55.676742,12.571523,"E"
"199","Indre By",5,8,3,757,55.678594,12.573319,"E"
"200","Vesterbro-Kongens Enghave",0,5,3,529,55.65137,12.554595,"E"
"201","Nørrebro",0,4,2,529,55.689518,12.559123,"E"
"202","Indre By",0,6,2,529,55.687506,12.590848,"E"
"203","Østerbro",0,5,4,529,55.726661,12.572493,"E"
"204","Østerbro",5,9,5,522,55.692774,12.569807,"E"
"205","Indre By",4.5,6,3,529,55.683654,12.614841,"E"
"206","Indre By",0,6,2,606,55.679178,12.563259,"E"
"207","Indre By",4.5,7,3,529,55.670854,12.590801,"E"
"208","Indre By",0,5,1,721,55.683064,12.573788,"E"
"209","Indre By",0,7,4,681,55.680288,12.602841,"E"
"210","Østerbro",0,6,4,590,55.701055,12.583184,"E"
"211","Indre By",5,5,3,619,55.690702,12.571914,"E"
"212","Indre By",5,6,4,680,55.680196,12.588841,"E"
"213","Amager Vest",0,6,3,563,55.642745,12.602929,"E"
"214","Vesterbro-Kongens Enghave",0,2,1,606,55.646602,12.547414,"E"
"215","Indre By",4.5,12,6,681,55.679996,12.564202,"E"
"216","Indre By",5,8,4,681,55.679447,12.56341,"E"
"217","Amager Vest",0,6,3,681,55.632686,12.57267,"E"
"218","Valby",0,10,5,529,55.654686,12.488351,"E"
"219","Amager Vest",0,12,6,555,55.651873,12.610936,"E"
"220","Amager Vest",5,8,3,545,55.669093,12.578849,"E"
"221","Amager Øst",0,10,5,529,55.662808,12.612716,"E"
"222","Indre By",5,12,4,605,55.677635,12.571164,"E"
"223","Vesterbro-Kongens Enghave",5,8,4,636,55.653601,12.55204,"E"
"224","Indre By",4.5,10,5,529,55.672594,12.575977,"E"
"225","Indre By",0,7,3,678,55.678527,12.590415,"E"
